month,zipcode,avg_hours
2024-04,10463,180.36
2024-04,10464,53.89
2024-04,10465,124.13
2024-04,10466,238.26
2024-04,10467,314.82
2024-04,10468,261.61
2024-04,10469,196.33
2024-04,10470,169.95
2024-04,10471,138.34
2024-04,10472,166.23
2024-04,10473,173.54
2024-04,10474,190.66
2024-04,10475,146.99
2024-04,10573,1080.74
2024-04,10803,381.57
2024-04,10956,713.52
2024-04,11001,579.34
2024-04,11004,823.28
2024-04,11005,144.17
2024-04,11021,1.59
2024-04,11040,163.78
2024-04,11096,737.07
2024-04,11101,292.52
2024-04,11102,817.77
2024-04,11103,236.33
2024-04,11104,467.49
2024-04,11105,497.75
2024-04,11106,545.45
2024-04,11109,92.88
2024-04,11201,220.85
2024-04,11203,417.24
2024-04,11204,263.53
2024-04,11205,312.53
2024-04,11206,325.2
2024-04,11207,441.93
2024-04,11208,308.21
2024-04,11209,226.87
2024-04,11210,451.33
2024-04,11211,341.43
2024-04,11212,463.66
2024-04,11213,414.12
2024-04,11214,174.82
2024-04,11215,344.96
2024-04,11216,402.1
2024-04,11217,309.73
2024-04,11218,200.16
2024-04,11219,281.19
2024-04,11220,202.74
2024-04,11221,268.78
2024-04,11222,147.42
2024-04,11223,193.22
2024-04,11224,256.9
2024-04,11225,362.3
2024-04,11226,365.66
2024-04,11228,157.9
2024-04,11229,208.85
2024-04,11230,285.99
2024-04,11231,252.09
2024-04,11232,187.08
2024-04,11233,429.72
2024-04,11234,319.94
2024-04,11235,205.45
2024-04,11236,350.86
2024-04,11237,370.62
2024-04,11238,485.06
2024-04,11239,45.81
2024-04,11241,178.97
2024-04,11242,0.67
2024-04,11249,201.9
2024-04,11251,2.68
2024-04,11354,500.77
2024-04,11355,308.07
2024-04,11356,531.99
2024-04,11357,794.86
2024-04,11358,610.22
2024-04,11359,472.09
2024-04,11360,268.92
2024-04,11361,321.38
2024-04,11362,492.97
2024-04,11363,1205.65
2024-04,11364,260.31
2024-04,11365,634.23
2024-04,11366,241.02
2024-04,11367,501.47
2024-04,11368,290.12
2024-04,11369,422.74
2024-04,11370,507.25
2024-04,11371,19.82
2024-04,11372,301.19
2024-04,11373,906.29
2024-04,11374,456.18
2024-04,11375,495.55
2024-04,11377,336.99
2024-04,11378,211.5
2024-04,11379,434.63
2024-04,11385,396.35
2024-04,11411,455.06
2024-04,11412,687.38
2024-04,11413,839.76
2024-04,11414,314.16
2024-04,11415,241.16
2024-04,11416,169.54
2024-04,11417,335.55
2024-04,11418,224.61
2024-04,11419,234.71
2024-04,11420,225.61
2024-04,11421,169.78
2024-04,11422,841.53
2024-04,11423,630.0
2024-04,11426,819.89
2024-04,11427,205.84
2024-04,11428,275.39
2024-04,11429,334.8
2024-04,11430,1263.52
2024-04,11432,253.32
2024-04,11433,492.16
2024-04,11434,927.82
2024-04,11435,298.35
2024-04,11436,516.34
2024-04,11561,913.93
2024-04,11572,752.32
2024-04,11590,730.87
2024-04,11691,644.0
2024-04,11692,678.57
2024-04,11693,530.94
2024-04,11694,1112.65
2024-04,11697,665.68
2024-04,11791,111.39
2024-04,12345,750.69
2024-04,19013,601.53
2024-04,55439,398.73
2024-04,56377,733.47
2024-04,63640,734.8
2024-04,76096,237.14
2024-04,95128,21.22
2024-04,NA,103.53
2024-05,02184,743.39
2024-05,07662,915.79
2024-05,10000,352.53
2024-05,10001,239.33
2024-05,10002,239.61
2024-05,10003,308.34
2024-05,10004,55.15
2024-05,10005,70.41
2024-05,10006,36.53
2024-05,10007,127.26
2024-05,10009,252.17
2024-05,10010,414.47
2024-05,10011,234.69
2024-05,10012,195.17
2024-05,10013,184.83
2024-05,10014,201.93
2024-05,10016,280.41
2024-05,10017,276.5
2024-05,10018,229.9
2024-05,10019,268.24
2024-05,10020,459.16
2024-05,10021,470.99
2024-05,10022,250.59
2024-05,10023,347.69
2024-05,10024,260.54
2024-05,10025,352.89
2024-05,10026,346.14
2024-05,10027,306.8
2024-05,10028,448.37
2024-05,10029,362.06
2024-05,10030,446.61
2024-05,10031,296.32
2024-05,10032,370.47
2024-05,10033,500.04
2024-05,10034,344.46
2024-05,10035,351.6
2024-05,10036,356.07
2024-05,10037,409.1
2024-05,10038,121.28
2024-05,10039,463.91
2024-05,10040,345.95
2024-05,10041,68.78
2024-05,10044,55.84
2024-05,10045,0.82
2024-05,10055,0.0
2024-05,10065,395.99
2024-05,10069,79.6
2024-05,10075,451.54
2024-05,10103,654.55
2024-05,10105,687.94
2024-05,10106,13.97
2024-05,10110,1.07
2024-05,10111,0.38
2024-05,10112,56.87
2024-05,10115,104.02
2024-05,10118,172.17
2024-05,10119,48.78
2024-05,10120,0.75
2024-05,10121,493.36
2024-05,10123,71.26
2024-05,10128,442.96
2024-05,10151,0.67
2024-05,10152,1.59
2024-05,10153,489.08
2024-05,10154,11.86
2024-05,10158,0.34
2024-05,10162,108.96
2024-05,10167,2.94
2024-05,10168,53.27
2024-05,10169,35.06
2024-05,10170,46.01
2024-05,10171,2202.56
2024-05,10172,37.75
2024-05,10174,0.28
2024-05,10175,0.68
2024-05,10271,1.27
2024-05,10278,0.58
2024-05,10279,109.99
2024-05,10280,164.19
2024-05,10281,34.94
2024-05,10282,14.54
2024-05,10301,295.11
2024-05,10302,583.39
2024-05,10303,307.35
2024-05,10304,280.4
2024-05,10305,157.87
2024-05,10306,345.63
2024-05,10307,213.72
2024-05,10308,353.9
2024-05,10309,245.8
2024-05,10310,456.08
2024-05,10312,328.32
2024-05,10314,367.56
2024-05,10451,276.26
2024-05,10452,293.65
2024-05,10453,335.99
2024-05,10454,184.89
2024-05,10455,240.73
2024-05,10456,276.57
